Year,Labor force status,Race (2003-2021),Gender,Field of maj - most recent deg (major) (2003-2021),Weighted Count
2021,Employed,Asian ONLY,Female,Computer and mathematical sciences,"280,222"
2021,Employed,Asian ONLY,Female,"Biological, agricultural and environmental life sciences","197,031"
2021,Employed,Asian ONLY,Female,Physical and related sciences,"45,603"
2021,Employed,Asian ONLY,Female,Social and related sciences,"259,090"
2021,Employed,Asian ONLY,Female,Engineering,"213,556"
2021,Employed,Asian ONLY,Female,S&E-Related Fields,"597,543"
2021,Employed,Asian ONLY,Female,Non-S&E Fields,"1,161,690"
2021,Employed,Asian ONLY,Male,Computer and mathematical sciences,"544,824"
2021,Employed,Asian ONLY,Male,"Biological, agricultural and environmental life sciences","146,066"
2021,Employed,Asian ONLY,Male,Physical and related sciences,"95,003"
2021,Employed,Asian ONLY,Male,Social and related sciences,"161,354"
2021,Employed,Asian ONLY,Male,Engineering,"770,477"
2021,Employed,Asian ONLY,Male,S&E-Related Fields,"445,967"
2021,Employed,Asian ONLY,Male,Non-S&E Fields,"668,693"
2021,Employed,American Indian/Alaska Native ONLY,Female,Computer and mathematical sciences,557
2021,Employed,American Indian/Alaska Native ONLY,Female,"Biological, agricultural and environmental life sciences","5,275"
2021,Employed,American Indian/Alaska Native ONLY,Female,Physical and related sciences,"1,432"
2021,Employed,American Indian/Alaska Native ONLY,Female,Social and related sciences,"16,333"
2021,Employed,American Indian/Alaska Native ONLY,Female,Engineering,"2,119"
2021,Employed,American Indian/Alaska Native ONLY,Female,S&E-Related Fields,"16,652"
2021,Employed,American Indian/Alaska Native ONLY,Female,Non-S&E Fields,"84,481"
2021,Employed,American Indian/Alaska Native ONLY,Male,Computer and mathematical sciences,"3,935"
2021,Employed,American Indian/Alaska Native ONLY,Male,"Biological, agricultural and environmental life sciences","4,502"
2021,Employed,American Indian/Alaska Native ONLY,Male,Physical and related sciences,"6,035"
2021,Employed,American Indian/Alaska Native ONLY,Male,Social and related sciences,"15,029"
2021,Employed,American Indian/Alaska Native ONLY,Male,Engineering,"13,339"
2021,Employed,American Indian/Alaska Native ONLY,Male,S&E-Related Fields,"7,578"
2021,Employed,American Indian/Alaska Native ONLY,Male,Non-S&E Fields,"54,717"
2021,Employed,Black ONLY,Female,Computer and mathematical sciences,"71,417"
2021,Employed,Black ONLY,Female,"Biological, agricultural and environmental life sciences","97,681"
2021,Employed,Black ONLY,Female,Physical and related sciences,"12,873"
2021,Employed,Black ONLY,Female,Social and related sciences,"352,849"
2021,Employed,Black ONLY,Female,Engineering,"37,948"
2021,Employed,Black ONLY,Female,S&E-Related Fields,"449,320"
2021,Employed,Black ONLY,Female,Non-S&E Fields,"1,565,061"
2021,Employed,Black ONLY,Male,Computer and mathematical sciences,"169,510"
2021,Employed,Black ONLY,Male,"Biological, agricultural and environmental life sciences","69,589"
2021,Employed,Black ONLY,Male,Physical and related sciences,"19,919"
2021,Employed,Black ONLY,Male,Social and related sciences,"206,105"
2021,Employed,Black ONLY,Male,Engineering,"137,324"
2021,Employed,Black ONLY,Male,S&E-Related Fields,"205,682"
2021,Employed,Black ONLY,Male,Non-S&E Fields,"970,025"
2021,Employed,White ONLY,Female,Computer and mathematical sciences,"495,845"
2021,Employed,White ONLY,Female,"Biological, agricultural and environmental life sciences","946,273"
2021,Employed,White ONLY,Female,Physical and related sciences,"217,134"
2021,Employed,White ONLY,Female,Social and related sciences,"2,581,293"
2021,Employed,White ONLY,Female,Engineering,"379,681"
2021,Employed,White ONLY,Female,S&E-Related Fields,"3,697,358"
2021,Employed,White ONLY,Female,Non-S&E Fields,"11,782,718"
2021,Employed,White ONLY,Male,Computer and mathematical sciences,"1,495,085"
2021,Employed,White ONLY,Male,"Biological, agricultural and environmental life sciences","990,492"
2021,Employed,White ONLY,Male,Physical and related sciences,"477,919"
2021,Employed,White ONLY,Male,Social and related sciences,"1,976,162"
2021,Employed,White ONLY,Male,Engineering,"2,340,457"
2021,Employed,White ONLY,Male,S&E-Related Fields,"2,139,041"
2021,Employed,White ONLY,Male,Non-S&E Fields,"10,287,498"
2021,Employed,Native Hawaiian/Other Pacific Islander ONLY,Female,Computer and mathematical sciences,"1,191"
2021,Employed,Native Hawaiian/Other Pacific Islander ONLY,Female,"Biological, agricultural and environmental life sciences","7,955"
2021,Employed,Native Hawaiian/Other Pacific Islander ONLY,Female,Physical and related sciences,101
2021,Employed,Native Hawaiian/Other Pacific Islander ONLY,Female,Social and related sciences,"13,566"
2021,Employed,Native Hawaiian/Other Pacific Islander ONLY,Female,Engineering,"2,417"
2021,Employed,Native Hawaiian/Other Pacific Islander ONLY,Female,S&E-Related Fields,"27,896"
2021,Employed,Native Hawaiian/Other Pacific Islander ONLY,Female,Non-S&E Fields,"41,544"
2021,Employed,Native Hawaiian/Other Pacific Islander ONLY,Male,Computer and mathematical sciences,"7,119"
2021,Employed,Native Hawaiian/Other Pacific Islander ONLY,Male,"Biological, agricultural and environmental life sciences","1,455"
2021,Employed,Native Hawaiian/Other Pacific Islander ONLY,Male,Physical and related sciences,439
2021,Employed,Native Hawaiian/Other Pacific Islander ONLY,Male,Social and related sciences,"3,821"
2021,Employed,Native Hawaiian/Other Pacific Islander ONLY,Male,Engineering,"8,245"
2021,Employed,Native Hawaiian/Other Pacific Islander ONLY,Male,S&E-Related Fields,"20,425"
2021,Employed,Native Hawaiian/Other Pacific Islander ONLY,Male,Non-S&E Fields,"51,935"
2021,Employed,Multiple Race,Female,Computer and mathematical sciences,"19,516"
2021,Employed,Multiple Race,Female,"Biological, agricultural and environmental life sciences","48,224"
2021,Employed,Multiple Race,Female,Physical and related sciences,"11,020"
2021,Employed,Multiple Race,Female,Social and related sciences,"118,766"
2021,Employed,Multiple Race,Female,Engineering,"17,785"
2021,Employed,Multiple Race,Female,S&E-Related Fields,"122,291"
2021,Employed,Multiple Race,Female,Non-S&E Fields,"492,073"
2021,Employed,Multiple Race,Male,Computer and mathematical sciences,"67,115"
2021,Employed,Multiple Race,Male,"Biological, agricultural and environmental life sciences","44,586"
2021,Employed,Multiple Race,Male,Physical and related sciences,"15,032"
2021,Employed,Multiple Race,Male,Social and related sciences,"81,275"
2021,Employed,Multiple Race,Male,Engineering,"81,092"
2021,Employed,Multiple Race,Male,S&E-Related Fields,"68,883"
2021,Employed,Multiple Race,Male,Non-S&E Fields,"396,830"
2021,Unemployed,Asian ONLY,Female,Computer and mathematical sciences,"31,924"
2021,Unemployed,Asian ONLY,Female,"Biological, agricultural and environmental life sciences","16,003"
2021,Unemployed,Asian ONLY,Female,Physical and related sciences,"2,442"
2021,Unemployed,Asian ONLY,Female,Social and related sciences,"20,300"
2021,Unemployed,Asian ONLY,Female,Engineering,"10,614"
2021,Unemployed,Asian ONLY,Female,S&E-Related Fields,"27,588"
2021,Unemployed,Asian ONLY,Female,Non-S&E Fields,"110,097"
2021,Unemployed,Asian ONLY,Male,Computer and mathematical sciences,"17,477"
2021,Unemployed,Asian ONLY,Male,"Biological, agricultural and environmental life sciences","14,271"
2021,Unemployed,Asian ONLY,Male,Physical and related sciences,"2,186"
2021,Unemployed,Asian ONLY,Male,Social and related sciences,"12,423"
2021,Unemployed,Asian ONLY,Male,Engineering,"39,519"
2021,Unemployed,Asian ONLY,Male,S&E-Related Fields,"12,408"
2021,Unemployed,Asian ONLY,Male,Non-S&E Fields,"103,290"
2021,Unemployed,American Indian/Alaska Native ONLY,Female,"Biological, agricultural and environmental life sciences",460
2021,Unemployed,American Indian/Alaska Native ONLY,Female,Social and related sciences,"1,324"
2021,Unemployed,American Indian/Alaska Native ONLY,Female,S&E-Related Fields,152
2021,Unemployed,American Indian/Alaska Native ONLY,Female,Non-S&E Fields,"4,674"
2021,Unemployed,American Indian/Alaska Native ONLY,Male,Computer and mathematical sciences,"1,666"
2021,Unemployed,American Indian/Alaska Native ONLY,Male,"Biological, agricultural and environmental life sciences",465
2021,Unemployed,American Indian/Alaska Native ONLY,Male,Physical and related sciences,195
2021,Unemployed,American Indian/Alaska Native ONLY,Male,Social and related sciences,436
2021,Unemployed,American Indian/Alaska Native ONLY,Male,Engineering,482
2021,Unemployed,American Indian/Alaska Native ONLY,Male,S&E-Related Fields,908
2021,Unemployed,American Indian/Alaska Native ONLY,Male,Non-S&E Fields,"7,978"
2021,Unemployed,Black ONLY,Female,Computer and mathematical sciences,"14,319"
2021,Unemployed,Black ONLY,Female,"Biological, agricultural and environmental life sciences","9,380"
2021,Unemployed,Black ONLY,Female,Physical and related sciences,"2,517"
2021,Unemployed,Black ONLY,Female,Social and related sciences,"36,294"
2021,Unemployed,Black ONLY,Female,Engineering,973
2021,Unemployed,Black ONLY,Female,S&E-Related Fields,"32,076"
2021,Unemployed,Black ONLY,Female,Non-S&E Fields,"181,041"
2021,Unemployed,Black ONLY,Male,Computer and mathematical sciences,"10,380"
2021,Unemployed,Black ONLY,Male,"Biological, agricultural and environmental life sciences","2,887"
2021,Unemployed,Black ONLY,Male,Physical and related sciences,"3,089"
2021,Unemployed,Black ONLY,Male,Social and related sciences,"20,182"
2021,Unemployed,Black ONLY,Male,Engineering,"9,838"
2021,Unemployed,Black ONLY,Male,S&E-Related Fields,"11,862"
2021,Unemployed,Black ONLY,Male,Non-S&E Fields,"85,851"
2021,Unemployed,White ONLY,Female,Computer and mathematical sciences,"13,269"
2021,Unemployed,White ONLY,Female,"Biological, agricultural and environmental life sciences","35,614"
2021,Unemployed,White ONLY,Female,Physical and related sciences,"2,788"
2021,Unemployed,White ONLY,Female,Social and related sciences,"182,543"
2021,Unemployed,White ONLY,Female,Engineering,"20,109"
2021,Unemployed,White ONLY,Female,S&E-Related Fields,"111,231"
2021,Unemployed,White ONLY,Female,Non-S&E Fields,"655,206"
2021,Unemployed,White ONLY,Male,Computer and mathematical sciences,"72,773"
2021,Unemployed,White ONLY,Male,"Biological, agricultural and environmental life sciences","60,028"
2021,Unemployed,White ONLY,Male,Physical and related sciences,"23,842"
2021,Unemployed,White ONLY,Male,Social and related sciences,"113,129"
2021,Unemployed,White ONLY,Male,Engineering,"87,634"
2021,Unemployed,White ONLY,Male,S&E-Related Fields,"58,350"
2021,Unemployed,White ONLY,Male,Non-S&E Fields,"693,886"
2021,Unemployed,Native Hawaiian/Other Pacific Islander ONLY,Female,Computer and mathematical sciences,239
2021,Unemployed,Native Hawaiian/Other Pacific Islander ONLY,Female,Physical and related sciences,524
2021,Unemployed,Native Hawaiian/Other Pacific Islander ONLY,Female,Social and related sciences,480
2021,Unemployed,Native Hawaiian/Other Pacific Islander ONLY,Female,S&E-Related Fields,151
2021,Unemployed,Native Hawaiian/Other Pacific Islander ONLY,Female,Non-S&E Fields,"1,940"
2021,Unemployed,Native Hawaiian/Other Pacific Islander ONLY,Male,Computer and mathematical sciences,418
2021,Unemployed,Native Hawaiian/Other Pacific Islander ONLY,Male,Social and related sciences,"2,568"
2021,Unemployed,Multiple Race,Female,Computer and mathematical sciences,"2,959"
2021,Unemployed,Multiple Race,Female,"Biological, agricultural and environmental life sciences","7,770"
2021,Unemployed,Multiple Race,Female,Social and related sciences,"11,260"
2021,Unemployed,Multiple Race,Female,Engineering,"1,231"
2021,Unemployed,Multiple Race,Female,S&E-Related Fields,"5,298"
2021,Unemployed,Multiple Race,Female,Non-S&E Fields,"83,046"
2021,Unemployed,Multiple Race,Male,Computer and mathematical sciences,"3,151"
2021,Unemployed,Multiple Race,Male,"Biological, agricultural and environmental life sciences","2,905"
2021,Unemployed,Multiple Race,Male,Physical and related sciences,"3,318"
2021,Unemployed,Multiple Race,Male,Social and related sciences,"10,744"
2021,Unemployed,Multiple Race,Male,Engineering,"1,632"
2021,Unemployed,Multiple Race,Male,S&E-Related Fields,"5,715"
2021,Unemployed,Multiple Race,Male,Non-S&E Fields,"23,872"
2019,Employed,Asian ONLY,Female,Computer and mathematical sciences,"263,653"
2019,Employed,Asian ONLY,Female,"Biological, agricultural and environmental life sciences","181,482"
2019,Employed,Asian ONLY,Female,Physical and related sciences,"39,685"
2019,Employed,Asian ONLY,Female,Social and related sciences,"254,374"
2019,Employed,Asian ONLY,Female,Engineering,"191,554"
2019,Employed,Asian ONLY,Female,S&E-Related Fields,"606,542"
2019,Employed,Asian ONLY,Female,Non-S&E Fields,"965,096"
2019,Employed,Asian ONLY,Male,Computer and mathematical sciences,"441,346"
2019,Employed,Asian ONLY,Male,"Biological, agricultural and environmental life sciences","160,918"
2019,Employed,Asian ONLY,Male,Physical and related sciences,"93,923"
2019,Employed,Asian ONLY,Male,Social and related sciences,"137,070"
2019,Employed,Asian ONLY,Male,Engineering,"713,449"
2019,Employed,Asian ONLY,Male,S&E-Related Fields,"388,118"
2019,Employed,Asian ONLY,Male,Non-S&E Fields,"716,763"
2019,Employed,American Indian/Alaska Native ONLY,Female,Computer and mathematical sciences,"1,353"
2019,Employed,American Indian/Alaska Native ONLY,Female,"Biological, agricultural and environmental life sciences","2,519"
2019,Employed,American Indian/Alaska Native ONLY,Female,Physical and related sciences,"1,472"
2019,Employed,American Indian/Alaska Native ONLY,Female,Social and related sciences,"23,718"
2019,Employed,American Indian/Alaska Native ONLY,Female,Engineering,"2,420"
2019,Employed,American Indian/Alaska Native ONLY,Female,S&E-Related Fields,"20,564"
2019,Employed,American Indian/Alaska Native ONLY,Female,Non-S&E Fields,"94,053"
2019,Employed,American Indian/Alaska Native ONLY,Male,Computer and mathematical sciences,"2,109"
2019,Employed,American Indian/Alaska Native ONLY,Male,"Biological, agricultural and environmental life sciences","2,228"
2019,Employed,American Indian/Alaska Native ONLY,Male,Physical and related sciences,"2,363"
2019,Employed,American Indian/Alaska Native ONLY,Male,Social and related sciences,"14,891"
2019,Employed,American Indian/Alaska Native ONLY,Male,Engineering,"9,571"
2019,Employed,American Indian/Alaska Native ONLY,Male,S&E-Related Fields,"14,825"
