Year,Labor force status,Race (2003-2021),Gender,Field of maj - most recent deg (major) (2003-2021),Age group (5 year intv),Weighted Count
2021,Employed,Asian ONLY,Female,Computer and mathematical sciences,Ages 24 or younger,"21,198"
2021,Employed,Asian ONLY,Female,Computer and mathematical sciences,Ages 25-29,"42,798"
2021,Employed,Asian ONLY,Female,Computer and mathematical sciences,Ages 30-34,"48,353"
2021,Employed,Asian ONLY,Female,Computer and mathematical sciences,Ages 35-39,"32,277"
2021,Employed,Asian ONLY,Female,Computer and mathematical sciences,Ages 40-44,"34,064"
2021,Employed,Asian ONLY,Female,Computer and mathematical sciences,Ages 45-49,"37,933"
2021,Employed,Asian ONLY,Female,Computer and mathematical sciences,Ages 50-54,"33,180"
2021,Employed,Asian ONLY,Female,Computer and mathematical sciences,Ages 55-59,"20,748"
2021,Employed,Asian ONLY,Female,Computer and mathematical sciences,Ages 60-64,"4,143"
2021,Employed,Asian ONLY,Female,Computer and mathematical sciences,Ages 65-69,"4,513"
2021,Employed,Asian ONLY,Female,Computer and mathematical sciences,Ages 70-75,"1,017"
2021,Employed,Asian ONLY,Female,"Biological, agricultural and environmental life sciences",Ages 24 or younger,"19,386"
2021,Employed,Asian ONLY,Female,"Biological, agricultural and environmental life sciences",Ages 25-29,"36,228"
2021,Employed,Asian ONLY,Female,"Biological, agricultural and environmental life sciences",Ages 30-34,"36,060"
2021,Employed,Asian ONLY,Female,"Biological, agricultural and environmental life sciences",Ages 35-39,"21,301"
2021,Employed,Asian ONLY,Female,"Biological, agricultural and environmental life sciences",Ages 40-44,"26,802"
2021,Employed,Asian ONLY,Female,"Biological, agricultural and environmental life sciences",Ages 45-49,"25,385"
2021,Employed,Asian ONLY,Female,"Biological, agricultural and environmental life sciences",Ages 50-54,"13,138"
2021,Employed,Asian ONLY,Female,"Biological, agricultural and environmental life sciences",Ages 55-59,"8,948"
2021,Employed,Asian ONLY,Female,"Biological, agricultural and environmental life sciences",Ages 60-64,"6,201"
2021,Employed,Asian ONLY,Female,"Biological, agricultural and environmental life sciences",Ages 65-69,"3,122"
2021,Employed,Asian ONLY,Female,"Biological, agricultural and environmental life sciences",Ages 70-75,460
2021,Employed,Asian ONLY,Female,Physical and related sciences,Ages 24 or younger,"3,763"
2021,Employed,Asian ONLY,Female,Physical and related sciences,Ages 25-29,"5,994"
2021,Employed,Asian ONLY,Female,Physical and related sciences,Ages 30-34,"8,169"
2021,Employed,Asian ONLY,Female,Physical and related sciences,Ages 35-39,"5,569"
2021,Employed,Asian ONLY,Female,Physical and related sciences,Ages 40-44,"4,354"
2021,Employed,Asian ONLY,Female,Physical and related sciences,Ages 45-49,"5,119"
2021,Employed,Asian ONLY,Female,Physical and related sciences,Ages 50-54,"4,675"
